Country;IDCountry;populationGroup;IDpopulationGroup;CategoryLevel;Category1;IDCategory1;Category2;IDCategory2;avg_consume [grams/day/person];avg_consume [grams/kg body weight]
Latvia;132;Adults;10;2;Alcoholic beverages;10489503;Beer;10489514;409,638;5,176
United Kingdom;77;Adults;10;1;Alcoholic beverages;10489503;NULL;NULL;405,384;5,272
Finland;70;Adults;10;1;Alcoholic beverages;10489503;NULL;NULL;400,839;5,101
Poland;175;Very_elderly;13;2;Water and water based drinks;10489266;Water based beverages;10490622;400;7,077
Austria;14;Elderly;12;2;Alcoholic beverages;10489503;Beer;10489514;398,788;5,284
Belgium;22;Adults;10;1;Alcoholic beverages;10489503;NULL;NULL;395,238;5,353
Germany;56;Very_elderly;13;2;Alcoholic beverages;10489503;Beer;10489514;395,136;5,047
Romania;185;Adults;10;2;Water and water based drinks;10489266;Drinking water;10489267;393,979;5,476
Estonia;63;Very_elderly;13;1;Water and water based drinks;10489266;NULL;NULL;392,75;4,562
Estonia;63;Very_elderly;13;2;Water and water based drinks;10489266;Drinking water;10489267;392,75;4,562
Romania;185;Very_elderly;13;1;Vegetables;10486258;NULL;NULL;391,604;5,583
Ireland;101;Very_elderly;13;2;Alcoholic beverages;10489503;Beer;10489514;391,214;4,555
Ireland;101;Elderly;12;1;Alcoholic beverages;10489503;NULL;NULL;391,195;4,61
Finland;70;Elderly;12;2;Alcoholic beverages;10489503;Beer;10489514;388,402;4,667
Germany;56;Adolescents;7;1;Alcoholic beverages;10489503;NULL;NULL;386,398;5,7
Netherlands;162;Elderly;12;2;Alcoholic beverages;10489503;Beer;10489514;386,359;4,751
Poland;175;Adolescents;7;2;Water and water based drinks;10489266;Water based beverages;10490622;384,503;7,806
Romania;185;Elderly;12;1;Vegetables;10486258;NULL;NULL;383,25;5,301
Romania;185;Adults;10;1;Vegetables;10486258;NULL;NULL;381,907;5,313
Poland;175;Adolescents;7;1;Fruits and fruit products;10487162;NULL;NULL;380,44;8,053
Estonia;63;Adults;10;1;Water and water based drinks;10489266;NULL;NULL;379,439;5,518
Croatia;97;Adults;10;1;Alcoholic beverages;10489503;NULL;NULL;378,106;4,637
Poland;175;Adolescents;7;2;Fruits and fruit products;10487162;Fruit;10490675;377,824;7,984
Bulgaria;24;Adolescents;7;2;Water and water based drinks;10489266;Water based beverages;10490622;375,667;6,224
Denmark;58;Very_elderly;13;1;Alcoholic beverages;10489503;NULL;NULL;372,817;5,183
Poland;175;Adults;10;2;Meat and meat products;10487577;Other meat products;10487831;371,298;4,871
United Kingdom;77;Elderly;12;1;Alcoholic beverages;10489503;NULL;NULL;369,01;4,525
Poland;175;Adults;10;2;Water and water based drinks;10489266;Water based beverages;10490622;368,689;5,141
Hungary;99;Adults;10;1;Water and water based drinks;10489266;NULL;NULL;367,171;5,171
Bulgaria;24;Very_elderly;13;2;Water and water based drinks;10489266;Beverages Concentrates;10490623;366,667;4,226
Czech Republic;55;Adolescents;7;2;Water and water based drinks;10489266;Water based beverages;10490622;364,482;8,189
United Kingdom;77;Very_elderly;13;2;Alcoholic beverages;10489503;Beer;10489514;360,363;4,71
Denmark;58;Elderly;12;1;Alcoholic beverages;10489503;NULL;NULL;359,912;4,89
Denmark;58;Elderly;12;1;Alcoholic beverages;10489503;NULL;NULL;358,637;4,717
Belgium;22;Adolescents;7;1;Alcoholic beverages;10489503;NULL;NULL;358,591;5,675
Czech Republic;55;Adults;10;2;Water and water based drinks;10489266;Water based beverages;10490622;358,356;4,894
Austria;14;Adults;10;2;Water and water based drinks;10489266;Water based beverages;10490622;356,753;5,046
Denmark;58;Adults;10;1;Alcoholic beverages;10489503;NULL;NULL;356,163;4,704
Romania;185;Elderly;12;2;Water and water based drinks;10489266;Drinking water;10489267;355,689;4,899
Poland;175;Very_elderly;13;2;Fruits and fruit products;10487162;Fruit;10490675;355,468;5,202
Poland;175;Elderly;12;1;Alcoholic beverages;10489503;NULL;NULL;355;4,642
Poland;175;Very_elderly;13;1;Fruits and fruit products;10487162;NULL;NULL;354,163;5,183
Latvia;132;Very_elderly;13;1;Water and water based drinks;10489266;NULL;NULL;353,768;4,605
Latvia;132;Very_elderly;13;2;Water and water based drinks;10489266;Drinking water;10489267;353,768;4,605
Bulgaria;24;Infants;1;1;Water and water based drinks;10489266;NULL;NULL;349,946;54,287
Belgium;22;Elderly;12;2;Alcoholic beverages;10489503;Beer;10489514;349,158;4,692
Bulgaria;24;Infants;1;2;Water and water based drinks;10489266;Drinking water;10489267;348,734;54,272
Poland;175;Adolescents;7;1;Water and water based drinks;10489266;NULL;NULL;347,229;7,267
Czech Republic;55;Adolescents;7;2;Alcoholic beverages;10489503;Beer;10489514;346,875;6,074
Bulgaria;24;Very_elderly;13;2;Alcoholic beverages;10489503;Beer;10489514;346;4,637
